PURCHASE ORDER #,START SHIP DATE,END SHIP DATE,EVENT_ID,EVENT_START_DATE,EVENT_END_DATE
22467081,12/20/19,1/12/20,313882,4/11/20 8:00,4/14/20 8:00
22467082,12/20/19,1/12/20,313883,4/11/20 8:00,4/14/20 8:00
22467083,12/20/19,1/12/20,313891,4/11/20 8:00,4/14/20 8:00
22467084,12/20/19,1/12/20,313892,4/11/20 8:00,4/14/20 8:00
22467085,12/20/19,1/12/20,313893,4/11/20 8:00,4/14/20 8:00
22467086,12/20/19,1/12/20,313894,4/11/20 8:00,4/14/20 8:00
22467087,12/20/19,1/12/20,313896,4/11/20 8:00,4/14/20 8:00
22467088,12/20/19,1/12/20,313899,4/11/20 8:00,4/14/20 8:00
22467089,12/20/19,1/12/20,313901,4/11/20 8:00,4/14/20 8:00
22467090,12/20/19,1/12/20,313902,4/11/20 8:00,4/14/20 8:00
22467091,12/20/19,1/12/20,313903,4/11/20 8:00,4/14/20 8:00
22467092,12/20/19,1/12/20,313904,4/11/20 8:00,4/14/20 8:00
22467093,12/20/19,1/12/20,313905,4/11/20 8:00,4/14/20 8:00
22467094,12/20/19,1/12/20,313484,4/11/20 8:00,4/14/20 8:00
22467095,12/20/19,1/12/20,313990,4/11/20 8:00,4/14/20 8:00
22467096,12/20/19,1/12/20,313991,4/11/20 8:00,4/14/20 8:00
22467097,12/20/19,1/12/20,313992,4/11/20 8:00,4/14/20 8:00
22467098,12/20/19,1/12/20,313993,4/11/20 8:00,4/14/20 8:00
22467099,12/20/19,1/12/20,313994,4/11/20 8:00,4/14/20 8:00
22467100,12/20/19,1/12/20,313995,4/11/20 8:00,4/14/20 8:00
22467101,12/20/19,1/12/20,313996,4/11/20 8:00,4/14/20 8:00
22467102,12/20/19,1/12/20,313997,4/11/20 8:00,4/14/20 8:00
22467103,12/20/19,1/12/20,313998,4/11/20 8:00,4/14/20 8:00
22467104,12/20/19,1/12/20,313999,4/11/20 8:00,4/14/20 8:00
22467105,12/20/19,1/12/20,314000,4/11/20 8:00,4/14/20 8:00
22467106,12/20/19,1/12/20,314001,4/11/20 8:00,4/14/20 8:00
22467107,12/20/19,1/12/20,314003,4/11/20 8:00,4/14/20 8:00
22467152,12/20/19,1/12/20,313485,4/11/20 8:00,4/14/20 8:00
22467175,12/20/19,1/12/20,313908,4/11/20 8:00,4/14/20 8:00
22467178,12/20/19,1/12/20,313909,4/11/20 8:00,4/14/20 8:00
22467181,12/20/19,1/12/20,313910,4/11/20 8:00,4/14/20 8:00
22467182,12/20/19,1/12/20,313911,4/11/20 8:00,4/14/20 8:00
22467185,12/20/19,1/12/20,313912,4/11/20 8:00,4/14/20 8:00
22467188,12/20/19,1/12/20,313913,4/11/20 8:00,4/14/20 8:00
22467190,12/20/19,1/12/20,313914,4/11/20 8:00,4/14/20 8:00
22467192,12/20/19,1/12/20,313915,4/11/20 8:00,4/14/20 8:00
22467194,12/20/19,1/12/20,313916,4/11/20 8:00,4/14/20 8:00
22467196,12/20/19,1/12/20,313917,4/11/20 8:00,4/14/20 8:00
22467197,12/20/19,1/12/20,314246,4/11/20 8:00,4/14/20 8:00
22467199,12/20/19,1/12/20,313907,4/11/20 8:00,4/14/20 8:00
22467207,12/20/19,1/12/20,,4/11/20 8:00,4/14/20 8:00
22467209,12/20/19,1/12/20,313934,4/11/20 8:00,4/14/20 8:00
22467211,12/20/19,1/12/20,313988,4/11/20 8:00,4/14/20 8:00
22467213,12/20/19,1/12/20,313935,4/11/20 8:00,4/14/20 8:00
22467214,12/20/19,1/12/20,313936,4/11/20 8:00,4/14/20 8:00
22467216,12/20/19,1/12/20,313937,4/11/20 8:00,4/14/20 8:00
22467218,12/20/19,1/12/20,313938,4/11/20 8:00,4/14/20 8:00
22467220,12/20/19,1/12/20,313939,4/11/20 8:00,4/14/20 8:00
22467224,12/20/19,1/12/20,313940,4/11/20 8:00,4/14/20 8:00
22467225,12/20/19,1/12/20,,4/11/20 8:00,4/14/20 8:00
22467226,12/20/19,1/12/20,313927,4/11/20 8:00,4/14/20 8:00
22467227,12/20/19,1/12/20,313928,4/11/20 8:00,4/14/20 8:00
22467229,12/20/19,1/12/20,313929,4/11/20 8:00,4/14/20 8:00
22467230,12/20/19,1/12/20,313930,4/11/20 8:00,4/14/20 8:00
22467231,12/20/19,1/12/20,313931,4/11/20 8:00,4/14/20 8:00
