event_id,start_date,end_date,
313892,3/19/20 8:00,3/22/20 8:00,
313893,3/19/20 8:00,3/22/20 8:00,
313894,3/19/20 8:00,3/22/20 8:00,
313896,3/19/20 8:00,3/22/20 8:00,
313899,3/19/20 8:00,3/22/20 8:00,
313901,3/19/20 8:00,3/22/20 8:00,
313902,3/19/20 8:00,3/22/20 8:00,
313903,3/19/20 8:00,3/22/20 8:00,
313904,3/19/20 8:00,3/22/20 8:00,
313905,3/19/20 8:00,3/22/20 8:00,
313484,3/19/20 8:00,3/22/20 8:00,
313990,3/19/20 8:00,3/22/20 8:00,
313991,3/19/20 8:00,3/22/20 8:00,
313992,3/19/20 8:00,3/22/20 8:00,
313993,3/19/20 8:00,3/22/20 8:00,
313994,3/19/20 8:00,3/22/20 8:00,
313995,3/19/20 8:00,3/22/20 8:00,
313996,3/19/20 8:00,3/22/20 8:00,
313997,3/19/20 8:00,3/22/20 8:00,
313998,3/19/20 8:00,3/22/20 8:00,
313999,3/19/20 8:00,3/22/20 8:00,
314000,3/19/20 8:00,3/22/20 8:00,
314001,3/19/20 8:00,3/22/20 8:00,
314003,3/19/20 8:00,3/22/20 8:00,
313485,3/19/20 8:00,3/22/20 8:00,
313908,3/19/20 8:00,3/22/20 8:00,
313909,3/19/20 8:00,3/22/20 8:00,
313910,3/19/20 8:00,3/22/20 8:00,
313911,3/19/20 8:00,3/22/20 8:00,
313912,3/19/20 8:00,3/22/20 8:00,
313913,3/19/20 8:00,3/22/20 8:00,
313914,3/19/20 8:00,3/22/20 8:00,
313915,3/19/20 8:00,3/22/20 8:00,
313916,3/19/20 8:00,3/22/20 8:00,
313917,3/19/20 8:00,3/22/20 8:00,
314246,3/19/20 8:00,3/22/20 8:00,
313907,3/19/20 8:00,3/22/20 8:00,
313934,3/19/20 8:00,3/22/20 8:00,
313988,3/19/20 8:00,3/22/20 8:00,
313935,3/19/20 8:00,3/22/20 8:00,
313936,3/19/20 8:00,3/22/20 8:00,
313937,3/19/20 8:00,3/22/20 8:00,
313938,3/19/20 8:00,3/22/20 8:00,
313939,3/19/20 8:00,3/22/20 8:00,
313940,3/19/20 8:00,3/22/20 8:00,
313927,3/19/20 8:00,3/22/20 8:00,
313928,3/19/20 8:00,3/22/20 8:00,
313929,3/19/20 8:00,3/22/20 8:00,
313930,3/19/20 8:00,3/22/20 8:00,
313931,3/19/20 8:00,3/22/20 8:00,
313924,3/19/20 8:00,3/22/20 8:00,
313925,3/19/20 8:00,3/22/20 8:00,
313926,3/19/20 8:00,3/22/20 8:00,
313919,3/19/20 8:00,3/22/20 8:00,
313920,4/19/20 8:00,4/22/20 8:00,
320069,4/19/20 8:00,4/22/20 8:00,
313921,4/19/20 8:00,4/22/20 8:00,
313922,4/19/20 8:00,4/22/20 8:00,
313923,4/19/20 8:00,4/22/20 8:00,
318901,4/19/20 8:00,4/22/20 8:00,
315587,3/19/20 8:00,3/22/20 8:00,
313918,3/19/20 8:00,3/22/20 8:00,
314398,3/19/20 8:00,3/22/20 8:00,
313668,3/19/20 8:00,3/22/20 8:00,
314511,3/19/20 8:00,3/22/20 8:00,
313667,3/19/20 8:00,3/22/20 8:00,
314512,3/19/20 8:00,3/22/20 8:00,
314248,3/19/20 8:00,3/22/20 8:00,
314252,3/19/20 8:00,3/22/20 8:00,
314253,3/19/20 8:00,3/22/20 8:00,
314255,3/19/20 8:00,3/22/20 8:00,
313677,3/19/20 8:00,3/22/20 8:00,
314247,3/19/20 8:00,3/22/20 8:00,
313679,3/19/20 8:00,3/22/20 8:00,
313678,3/19/20 8:00,3/22/20 8:00,
314338,3/19/20 8:00,3/22/20 8:00,
314339,3/19/20 8:00,3/22/20 8:00,
314298,3/19/20 8:00,3/22/20 8:00,
314299,3/19/20 8:00,3/22/20 8:00,
314301,3/19/20 8:00,3/22/20 8:00,
314340,3/19/20 8:00,3/22/20 8:00,
314341,3/19/20 8:00,3/22/20 8:00,
314313,3/19/20 8:00,3/22/20 8:00,
314310,3/19/20 8:00,3/22/20 8:00,
314312,3/19/20 8:00,3/22/20 8:00,
314309,3/19/20 8:00,3/22/20 8:00,
314304,3/19/20 8:00,3/22/20 8:00,
314306,5/20/20 8:00,5/23/20 8:00,
314307,3/19/20 8:00,3/22/20 8:00,
314316,3/19/20 8:00,3/22/20 8:00,
314318,3/19/20 8:00,3/22/20 8:00,
313786,3/19/20 8:00,3/22/20 8:00,
314320,3/19/20 8:00,3/22/20 8:00,
313785,3/19/20 8:00,3/22/20 8:00,
314342,3/19/20 8:00,3/22/20 8:00,
314343,3/19/20 8:00,3/22/20 8:00,
313787,3/19/20 8:00,3/22/20 8:00,
313784,3/19/20 8:00,3/22/20 8:00,
313783,3/19/20 8:00,3/22/20 8:00,
314419,3/19/20 8:00,3/22/20 8:00,
314420,3/19/20 8:00,3/22/20 8:00,
314422,3/19/20 8:00,3/22/20 8:00,
314423,3/19/20 8:00,3/22/20 8:00,
314424,3/19/20 8:00,3/22/20 8:00,
314425,3/19/20 8:00,3/22/20 8:00,
314426,3/19/20 8:00,3/22/20 8:00,
314427,3/19/20 8:00,3/22/20 8:00,
314428,3/19/20 8:00,3/22/20 8:00,
314429,3/19/20 8:00,3/22/20 8:00,
314430,3/19/20 8:00,3/22/20 8:00,
314431,3/19/20 8:00,3/22/20 8:00,
314399,3/19/20 8:00,3/22/20 8:00,
314400,3/19/20 8:00,3/22/20 8:00,
314300,3/19/20 8:00,3/22/20 8:00,
314302,3/19/20 8:00,3/22/20 8:00,
314303,3/19/20 8:00,3/22/20 8:00,
314305,3/19/20 8:00,3/22/20 8:00,
314308,3/19/20 8:00,3/22/20 8:00,
314311,3/19/20 8:00,3/22/20 8:00,
314314,3/19/20 8:00,3/22/20 8:00,
314315,3/19/20 8:00,3/22/20 8:00,
314317,3/19/20 8:00,3/22/20 8:00,
314319,3/19/20 8:00,3/22/20 8:00,
313877,3/19/20 8:00,3/22/20 8:00,
314321,3/19/20 8:00,3/22/20 8:00,
313879,3/19/20 8:00,3/22/20 8:00,
314322,3/19/20 8:00,3/22/20 8:00,
314323,3/19/20 8:00,3/22/20 8:00,
313878,3/19/20 8:00,3/22/20 8:00,
314324,3/19/20 8:00,3/22/20 8:00,
314325,3/19/20 8:00,3/22/20 8:00,
314326,3/19/20 8:00,3/22/20 8:00,
314327,3/19/20 8:00,3/22/20 8:00,
314329,3/19/20 8:00,3/22/20 8:00,
314440,3/19/20 8:00,3/22/20 8:00,
314442,3/19/20 8:00,3/22/20 8:00,
314444,3/19/20 8:00,3/22/20 8:00,
314445,3/19/20 8:00,3/22/20 8:00,
314447,3/19/20 8:00,3/22/20 8:00,
314448,3/19/20 8:00,3/22/20 8:00,
314449,3/19/20 8:00,3/22/20 8:00,
313884,3/19/20 8:00,3/22/20 8:00,
314451,3/19/20 8:00,3/22/20 8:00,
314452,3/19/20 8:00,3/22/20 8:00,
314453,3/19/20 8:00,3/22/20 8:00,
314454,3/19/20 8:00,3/22/20 8:00,
314455,3/19/20 8:00,3/22/20 8:00,
314458,3/19/20 8:00,3/22/20 8:00,
314459,3/19/20 8:00,3/22/20 8:00,
314460,3/19/20 8:00,3/22/20 8:00,
314461,3/19/20 8:00,3/22/20 8:00,
314462,3/19/20 8:00,3/22/20 8:00,
314463,3/19/20 8:00,3/22/20 8:00,
314464,3/19/20 8:00,3/22/20 8:00,
314507,3/19/20 8:00,3/22/20 8:00,
314508,3/19/20 8:00,3/22/20 8:00,
314509,3/19/20 8:00,3/22/20 8:00,
314513,3/19/20 8:00,3/22/20 8:00,
314515,3/19/20 8:00,3/22/20 8:00,
314518,3/19/20 8:00,3/22/20 8:00,
314520,3/19/20 8:00,3/22/20 8:00,
314523,3/19/20 8:00,3/22/20 8:00,
314625,3/19/20 8:00,3/22/20 8:00,
314629,3/19/20 8:00,3/22/20 8:00,
314627,3/19/20 8:00,3/22/20 8:00,
314630,3/19/20 8:00,3/22/20 8:00,
314628,3/19/20 8:00,3/22/20 8:00,
314634,3/19/20 8:00,3/22/20 8:00,
314633,3/19/20 8:00,3/22/20 8:00,
314635,3/19/20 8:00,3/22/20 8:00,
314636,3/19/20 8:00,3/22/20 8:00,
314632,3/19/20 8:00,3/22/20 8:00,
314644,3/19/20 8:00,3/22/20 8:00,
314643,3/19/20 8:00,3/22/20 8:00,
314640,3/19/20 8:00,3/22/20 8:00,
314654,3/19/20 8:00,3/22/20 8:00,
314655,3/19/20 8:00,3/22/20 8:00,
314657,3/19/20 8:00,3/22/20 8:00,
314658,3/19/20 8:00,3/22/20 8:00,
314659,3/19/20 8:00,3/22/20 8:00,
314777,3/19/20 8:00,3/22/20 8:00,
314778,3/19/20 8:00,3/22/20 8:00,
314791,3/19/20 8:00,3/22/20 8:00,
314815,3/19/20 8:00,3/22/20 8:00,
314873,3/19/20 8:00,3/22/20 8:00,
314930,3/19/20 8:00,3/22/20 8:00,
314967,3/19/20 8:00,3/22/20 8:00,
314988,3/19/20 8:00,3/22/20 8:00,
315044,3/19/20 8:00,3/22/20 8:00,
315097,3/19/20 8:00,3/22/20 8:00,
315122,4/19/20 8:00,4/22/20 8:00,
315191,4/19/20 8:00,4/22/20 8:00,
315233,4/19/20 8:00,4/22/20 8:00,
315256,4/19/20 8:00,4/22/20 8:00,
315292,4/19/20 8:00,4/22/20 8:00,
315150,3/19/20 8:00,3/22/20 8:00,
315245,3/19/20 8:00,3/22/20 8:00,
315296,3/19/20 8:00,3/22/20 8:00,
315216,3/19/20 8:00,3/22/20 8:00,
315294,3/19/20 8:00,3/22/20 8:00,
315295,3/19/20 8:00,3/22/20 8:00,
315231,3/19/20 8:00,3/22/20 8:00,
315297,3/19/20 8:00,3/22/20 8:00,
315565,3/19/20 8:00,3/22/20 8:00,
315566,3/19/20 8:00,3/22/20 8:00,
315567,3/19/20 8:00,3/22/20 8:00,
315568,3/19/20 8:00,3/22/20 8:00,
315569,4/19/20 8:00,4/22/20 8:00,
315570,3/19/20 8:00,3/22/20 8:00,
315298,3/19/20 8:00,3/22/20 8:00,
315299,3/19/20 8:00,3/22/20 8:00,
315300,3/19/20 8:00,3/22/20 8:00,
315316,3/19/20 8:00,3/22/20 8:00,
315415,3/19/20 8:00,3/22/20 8:00,
315445,3/19/20 8:00,3/22/20 8:00,
315450,3/19/20 8:00,3/22/20 8:00,
315474,3/19/20 8:00,3/22/20 8:00,
315487,3/19/20 8:00,3/22/20 8:00,
315518,3/19/20 8:00,3/22/20 8:00,
315536,4/19/20 8:00,4/22/20 8:00,
315551,4/19/20 8:00,4/22/20 8:00,
315560,3/19/20 8:00,3/22/20 8:00,
315571,3/19/20 8:00,3/22/20 8:00,
315572,3/19/20 8:00,3/22/20 8:00,
315574,3/19/20 8:00,3/22/20 8:00,
315576,3/19/20 8:00,3/22/20 8:00,
315580,3/19/20 8:00,3/22/20 8:00,
314112,3/19/20 8:00,3/22/20 8:00,
314113,3/19/20 8:00,3/22/20 8:00,
315588,3/19/20 8:00,3/22/20 8:00,
315589,3/19/20 8:00,3/22/20 8:00,
314114,3/19/20 8:00,3/22/20 8:00,
315590,3/19/20 8:00,3/22/20 8:00,
315591,3/19/20 8:00,3/22/20 8:00,
315592,3/19/20 8:00,3/22/20 8:00,
314115,3/19/20 8:00,3/22/20 8:00,
314116,3/19/20 8:00,3/22/20 8:00,
314117,3/19/20 8:00,3/22/20 8:00,
314118,3/19/20 8:00,3/22/20 8:00,
314514,3/19/20 8:00,3/22/20 8:00,
314516,3/19/20 8:00,3/22/20 8:00,
314517,3/19/20 8:00,3/22/20 8:00,
314519,3/19/20 8:00,3/22/20 8:00,
314522,3/19/20 8:00,3/22/20 8:00,
314524,3/19/20 8:00,3/22/20 8:00,
314525,3/19/20 8:00,3/22/20 8:00,
314526,3/19/20 8:00,3/22/20 8:00,
314527,3/19/20 8:00,3/22/20 8:00,
314528,3/19/20 8:00,3/22/20 8:00,
314529,3/19/20 8:00,3/22/20 8:00,
314530,3/19/20 8:00,3/22/20 8:00,
315593,3/19/20 8:00,3/22/20 8:00,
315594,3/19/20 8:00,3/22/20 8:00,
315595,3/19/20 8:00,3/22/20 8:00,
315596,3/19/20 8:00,3/22/20 8:00,
315597,3/19/20 8:00,3/22/20 8:00,
315598,3/19/20 8:00,3/22/20 8:00,
315600,3/19/20 8:00,3/22/20 8:00,
315603,3/19/20 8:00,3/22/20 8:00,
314119,3/19/20 8:00,3/22/20 8:00,
314120,3/19/20 8:00,3/22/20 8:00,
314121,3/19/20 8:00,3/22/20 8:00,
315604,3/19/20 8:00,3/22/20 8:00,
315608,3/19/20 8:00,3/22/20 8:00,
315614,3/19/20 8:00,3/22/20 8:00,
315620,3/19/20 8:00,3/22/20 8:00,
315626,3/19/20 8:00,3/22/20 8:00,
315629,3/19/20 8:00,3/22/20 8:00,
315631,3/19/20 8:00,3/22/20 8:00,
315636,3/19/20 8:00,3/22/20 8:00,
315639,3/19/20 8:00,3/22/20 8:00,
315642,3/19/20 8:00,3/22/20 8:00,
315645,3/19/20 8:00,3/22/20 8:00,
315647,4/23/20 8:00,4/26/20 8:00,
315649,3/19/20 8:00,3/22/20 8:00,
315650,3/19/20 8:00,3/22/20 8:00,
315652,3/19/20 8:00,3/22/20 8:00,
315653,3/19/20 8:00,3/22/20 8:00,
314645,3/19/20 8:00,3/22/20 8:00,
315622,3/19/20 8:00,3/22/20 8:00,
315610,3/19/20 8:00,3/22/20 8:00,
315624,3/19/20 8:00,3/22/20 8:00,
315625,3/19/20 8:00,3/22/20 8:00,
315616,3/19/20 8:00,3/22/20 8:00,
315613,3/19/20 8:00,3/22/20 8:00,
315611,3/19/20 8:00,3/22/20 8:00,
315605,3/19/20 8:00,3/22/20 8:00,
315609,3/19/20 8:00,3/22/20 8:00,
315619,3/19/20 8:00,3/22/20 8:00,
315617,3/19/20 8:00,3/22/20 8:00,
315606,3/19/20 8:00,3/22/20 8:00,
315728,3/19/20 8:00,3/22/20 8:00,
315729,3/19/20 8:00,3/22/20 8:00,
315727,3/19/20 8:00,3/22/20 8:00,
